country,type,paid,needs_registration,governmental,agency,url,notes,
Hungary,Intellectual Property,f,f,t,Hungarian Intellectual Property Office (HIPO),http://www.hipo.gov.hu/English/,,
Hungary,Business Registry,f,f,t,Ministry of Justice,http://e-beszamolo.kim.gov.hu/,Available: filed company reports,
Hungary,Business Registry,f,f,t,Court of company registrations,http://www.e-cegjegyzek.hu/index.html,Available in Hungarian only,
Hungary,Business Registry,f,f,t,Budapest Stock Exchange,http://bse.hu/topmenu/members/listofmembers,Available: list of issuers and basic company information,
Iceland,Intellectual Property,f,f,t,celandic Patent Office Ministry of Economic Affairs,http://www.hipo.gov.hu/English/,,
Iceland,Intellectual Property,f,f,t,celandic Patent Office Ministry of Economic Affairs,http://www.hipo.gov.hu/English/,,
Iceland,Business Registry,f,f,t,Statistics Iceland,http://www.statice.is/Statistics/Enterprises-and-turnover/Enterprises,Available: statistical data on companies registered,
Iceland,Business Registry,f,f,t,The Financial Supervisory Authority,http://www.fme.is/?PageID=722,Available: a list of all authorised financial institutions and companies,
Iceland,Business Registry,f,f,t,Directorate of Internal Revenue,http://www.rsk.is/fyrirtaekjaskra,Available: basic company information and a list of all filed documents,
Ireland,Intellectual Property,f,f,t,"Patents Office Department of Jobs, Enterprise & Innovation",http://www.patentsoffice.ie/,,
Ireland,Business Registry,f,f,t,Companies Registration Office,http://www.cro.ie/search/CompanySearch.aspx,,
Isle of Man,Business Registry,t,f,t,Department of Economic Development,http://www.gov.im/ded/pvi/pvi_fr.html,Available: detailed company information,
Italy,Intellectual Property,f,f,t,Italian Patent and Trademark Office Directorate General of Combating Counterfeiting Ministry of Economic Development,http://www.uibm.gov.it/,,
Italy,Business Registry,f,f,t,Borsa Italiana,http://www.borsaitaliana.it/borsa/azioni/documenti/societa-quotate/documenti.html?lang=en,Available: detailed information about all listed companies,
Italy,Business Registry,t,f,t,Chamber of Commerce Registry,http://www.registroimprese.it/,Available: detailed company information,
Italy,Business Registry,f,f,t,CONSOB,http://www.consob.it/mainen/issuers/listed_companies/index.html,Available: detailed information about all listed companies,
Jersey,Business Registry,t,t,t,JFSC Companies Registry,https://www.jerseyfsc.org/registry/documentsearch/NameSearch.aspx,Available: detailed company information and original company records,
Latvia,Intellectual Property,f,f,t,Patent Office of the Republic of Latvia,http://www.lrpv.gov.lv/,,
Latvia,Regulatory Agency,f,f,t,The State Revenue Service,http://www6.vid.gov.lv/vid_pdb/vad,Full database of public officials' property,
Latvia,Business Registry,t,f,t,Lursoft,http://www.lursoft.lv/database_of_all_companies_registered_in_Latvia.html,Available: detailed company information,
Liechtenstein,Intellectual Property,f,f,t,Bureau of Intellectual Property Office of Economic Affairs,http://www.avw.llv.li/,,
Liechtenstein,Commercial Registry,t,t,f,Teledata,https://www.teledata.ch/index_e.php,"Available: search by name of company or person in databases from Switzerland and Liechtenstein.  It provides detailed information from financial institutions, official registries and other public administration departments including links to politicians, detailed financial status and reports, birth dates, addresses.",
Liechtenstein,Business Registry,t,f,t,Land and Trade Registry,http://www.oera.li/,Available: detailed company information,
Lithuania,Intellectual Property,f,f,t,State Patent Bureau of the Republic of Lithuania,http://www.vpb.lt/,,
Lithuania,Court Registry,f,f,f,Eteismai,http://eteismai.lt/,"Available: search by name of individual not available - all the names are diminished to the first letters of the name and the surname.
Includes litigation involving non-Lithuanian companies.",
Lithuania,Business Registry,f,f,t,Centre of Registers,http://www.registrucentras.lt/jar/p/,"Available: detailed company information is only available to Lithuanian citizens with a digital signature or a bank account in Lithuania.
Basic company information and a list of all filed documents is available for free to anyone.
Search by director is not available due to law on protection of personal information. Publishing and personal information is also punishable by law.",
Luxembourg,Gazette,f,f,t,Legilux - Luxembourg Official Gazette,http://www.legilux.public.lu/entr/search/index.php,,
Luxembourg,Intellectual Property,f,f,t,"Ministère de l'économie et du Commerce extérieur, Direction de la propriété intellectuelle",http://www.eco.public.lu/,,
Luxembourg,Business Registry,t,t,t,Registre de Commerce et des Sociétés,https://www.rcsl.lu/login/TAMLoginServlet?TAM_OP=cert_login&USERNAME=unauthenticated&ERROR_CODE=0x00000000&ERROR_TEXT=Successful%20completion&METHOD=GET&URL=/mjrcs/LoginServlet&HOSTNAME=www.rcsl.lu&AUTHNLEVEL=&FAILREASON=&PROTOCOL=https,Available: detailed company information,
Luxembourg,Business Registry,f,f,t,Commission for Surveilance of Financial Sector,http://www.cssf.lu/en/supervised-entities/,Available: listo of supervised entities,
Macedonia,Intellectual Property,f,f,t,State Office of Industrial Property (SOIP),http://www.ippo.gov.mk/MK/Index_mk.aspx,,
Macedonia,Intellectual Property,f,f,t,State Office of Industrial Property (SOIP),http://www.ippo.gov.mk/MK/Index_mk.aspx,,
Macedonia,Business Registry,f,f,t,Macedonian Stock Exchange,http://www.mse.mk/en/,Available: listo of issuers and their reports,
Macedonia,Business Registry,f,f,t,Macedonian Central Registry,http://www.crm.com.mk/DS/,Available: several registries at the same site. Available only in Macedonian,
Macedonia,Business Registry,f,f,t,Registry of Securities,http://www.sec.gov.mk/default.aspx?item=rassociations&subitem=rassociationsmain,Avalable: list of all issued securities and reports including companies with special reporting obligations,
Malta,Intellectual Property,f,f,t,"The National IP Office of Malta Commerce Department, Ministry for Fair Competition, Small Business and Consumers",https://secure2.gov.mt/IPO/default.aspx?ct=2&date=17012014203338,,
Malta,Business Registry,f,f,t,Malta Financial Services Authority,http://rocsupport.mfsa.com.mt/pages/SearchCompanyInformation.aspx,"Available: Company name, ID number, address, location",
Moldova,Business Registry,t,f,t,"Official Company Registry - ""Camera Inregistrarii de Stat"" (CIS)",http://www.cis.gov.md/en,"Provides basic data about companies for free (such as registration number and date, full name, address). See ""Check-up details of legal entity"" in the left-hand menu.

Users can create an account (with contract) and purchase current records (no history available online) at costs ranging between 1,5 - 4 USD.

The webpage is in Romanian, English, Russian.",
Moldova,Court Registry,f,f,f,Official Gazette,http://www.cis.gov.md/buletin_oficial,"Issued monthly, provides free access to a list of companies registered each month, with basic details (online data available since 2009)",
Moldova,Court Registry,f,f,f,Database of Court Cases in the Republic of Moldova,http://courts.justice.md/,"Free search by name of entity in all areas of the country, free access to court records when available online.",
Moldova,Court Registry,f,f,f,State Tax Service,http://www.fisc.md/,"Provides free access to basic company data, including administrators names, address, registration number, financial status, type of activities. Search by company's registration number only (https://servicii.fisc.md/contribuabil.aspx).

The webpage is in Romanian, English, Russian",
Moldova,Business Registry,f,f,t,Ministry of Justice,http://rson.justice.md/organizations,List of NGOs,
Moldova,Intellectual Property,f,f,t,State Agency on Intellectual Property (AGEPI),http://agepi.gov.md/,,
Monaco,Intellectual Property,f,f,t,Intellectual Property Division Directorate of Economic Expansion Department of Finance and Economy,http://en.gouv.mc/Government-Institutions/The-Government/Ministry-of-Finance-and-Economy/Business-Development-Agency,,
Monaco,Business Registry,f,f,t,Monaco Government,http://www.rci.gouv.mc/,Available: search by name and basic company information,
Montenegro,Intellectual Property,f,f,t,Intellectual Property Office of Montenegro,http://www.ziscg.me/,,
Montenegro,Business Registry,f,f,t,Tax Authority,https://eprijava.tax.gov.me/TaxisPortal,Available: search by company ID number to check if the company files financial reports regularly.,
Montenegro,Business Registry,f,f,t,Central Depository Agency,http://www.cda.me/EN/Pages/Naslovna.aspx,"Available: ID number, name, address, symbol, ISIN, number of shareholders, number of shares",
Montenegro,Unknown,f,f,t,Realestate Administration Agency,http://www.nekretnine.co.me/me/Katastarski_podaci.asp,"Available: search only by Unique Personal ID gives all the land property registered in someone's name, its size and any other available details",
Montenegro,Business Registry,f,f,t,Securities Commission,http://www.scmn.me//index.php,Available: financial reports of traded companies,
Montenegro,Business Registry,f,f,t,Ministry of Finance,http://www.pretraga.crps.me:8083/,Available: detailed company information,
Montenegro,Business Registry,f,f,t,Montenegro Stock Exchange,http://www.montenegroberza.com/code/navigate.asp?Id=87,Available: financial reports of traded companies,
Netherlands,Intellectual Property,f,f,t,NL Patent Office  NL Agency  Ministry of Economic Affairs,http://english.rvo.nl/,,
Netherlands,Business Registry,f,f,t,Open KvK,http://www.openkvk.nl/,"Available: short information about company name, personal name, or list of companies at a certain address",
Netherlands,Business Registry,t,t,t,Kamer van Koophandel,https://www.kvk.nl/handelsregister/zoekenframeset.asp?url=https://server.db.kvk.nl/wwwsrvu/html/zoek.htm,Available: detailed company information and original documents,
Netherlands,Land Registry,t,t,t,Kadaster,https://webwinkel.kadaster.nl/,Available: search by address and purchase of specific cadastral documents. Annual subscription of €60 is also available and it offers other types of information on parcels and cadastral boundaries.,
Norway,Intellectual Property,f,f,t,Patentstyret (Norwegian Industrial Property Office),http://www.patentstyret.no/,,
Norway,Gazette,f,f,f,The Brønnøysund Register Centre,http://w2.brreg.no/kunngjoring/index.jsp?spraak=en,,
Norway,Business Registry,f,t,t,Brønnøysund Register Centre,https://w2.brreg.no/enhet/sok/,Available: company search and basic company information,
Norway,Business Registry,f,f,f,Brennpunkt,http://www.nrk.no/maktbasen/index.php?lang=en,Available: information on current local and national politicians in Norway,
Norway,Commercial Registry,t,t,f,proff.no,http://www.proff.no/,"Available: map of connections and relations between company board members, managing directors and stock owners etc.",
Norway,Commercial Registry,t,t,f,Infoland.no,https://www.infoland.no/portal/infoland/,"Available: cadastral, company, due dilligence and other information",
Poland,Intellectual Property,f,f,t,http://www.ipophil.gov.ph/index.php,"http://www.uprp.pl/strona-glowna/Menu01,9,0,index,pl/",,
Poland,Regulatory Agency,f,f,t,Central Statistics Agency,https://wyszukiwarkaregon.stat.gov.pl/appBIR/index.aspx,,
Poland,Business Registry,f,f,t,Ministry of Justice,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,Available: search only in Poland and basic company information,
Poland,Business Registry,f,f,t,Warsaw Stock Exchange,http://www.gpw.pl/lista_spolek_en,Available: search only in Poland and basic company information,
Poland,Business Registry,f,f,t,Ministry of Justice,http://bip.ms.gov.pl/pl/rejestry-i-ewidencje/,"Available: links to list of all courts, register of pledges, land registry, authorized notaries etc.",
Portugal,Intellectual Property,f,f,t,Portuguese Institute of Industrial Property  Ministry of Justice,http://www.marcasepatentes.pt/index.php?section=1,,
Portugal,Business Registry,f,f,t,Government of Portugal,https://www.portaldaempresa.pt/CVE/Services/Online/Pedidos.aspx?service=PNS,,
Romania,Intellectual Property,f,f,t,State Office for Inventions and Trademarks,http://www.osim.ro/,,
Romania,Business Registry,f,f,t,Bucharest Stock Exchange,http://www.bvb.ro/Companies/ListedCompanies.aspx,,
Romania,Business Registry,f,f,t,Registrul CNVM,http://www.cnvmr.ro/RCNVM/index.htm,,
Romania,Business Registry,f,f,t,Ministry of Justice,https://portal.onrc.ro/ONRCPortalWeb/ONRCPortal.portal,,
Russia,Intellectual Property,f,f,t,Federal Service for Intellectual Property (ROSPATENT),http://www.rupto.ru/en_site/index_en.htm,,
Russia,Business Registry,f,f,f,skrin.ru,http://disclosure.skrin.ru/issuers.asp?id=4,Available: lists of issuers and reports for some companies,
Russia,Business Registry,f,f,t,Federal Tax Authority,http://egrul.nalog.ru/,"Available: Basic company information, Information on: representatives etc.",
Russia,Business Registry,f,f,t,Federal Service for Financial Market,http://www.ffms.ru/ru/contributors/financialmarket/emitters/emitterslist/,Available: a list of issuers for which the Federal Financial Markets Service is the registration authority,
Russia,Business Registry,t,f,f,Enquiry Service of Legal Entities,http://russianpartner.biz/,Available: purchase of more detailed company profiles,
Russia,Business Registry,t,t,f,disclosure.ru,http://www.disclosure.ru/datacapital_tools/extsearch.jsp,Available: financial reports,
San Marino,Business Registry,f,f,t,Archive of the Economic Activities of The Republic of San Marino,https://registroimprese.cc.sm/,Available: search by company name with basic company information,
Serbia,Intellectual Property,f,f,t,Intellectual Property Office of the Republic of Serbia,http://www.zis.gov.rs/pocetna.1.html,,
Serbia,Regulatory Agency,f,f,t,Anti-Corruption Agency Serbia,http://www.acas.rs/sr_lat/aktuelnosti/114.html,Available: data on property of state officials, search available by official's name
Serbia,Business Registry,f,t,t,Public Procurements Registry,http://portal.ujn.gov.rs/Default.aspx,Available: all public,
Serbia,Business Registry,f,f,t,Serbian Business Registers Agency,http://pretraga2.apr.gov.rs/ObjedinjenePretrage/Search/Search,Available: information on entrepreneurs and small companies,
Serbia,Business Registry,f,f,t,Belgrade Stock Exchange,http://www.belex.rs/eng/clanovi/spisak_clanova,Available: lists of issuers and company reports,
Serbia,Court Registry,f,f,t,Serbian Courts Registry,http://tpson.portal.sud.rs/libra_portal_full/default.cfm,Available: search for court cases at all levels by case name or number, only available in Serbian
Serbia,Business Registry,f,f,t,Serbian Business Registers Agency,http://pretraga.apr.gov.rs/udruzenja/AssociationSearch.aspx,Available: information on NGOs,
Serbia,Business Registry,f,f,t,Serbian Business Registers Agency,http://www.apr.gov.rs/eng/Registers/FinancialLeasing/Search.aspx,Available: search in latin or cyrillic and financial leasing information,
Serbia,Business Registry,f,f,t,Serbian Business Registers Agency,http://pretraga2.apr.gov.rs/ObjedinjenePretrage/Search/Search,Available: search in latin or cyrillic with detailed company results,
Serbia,Business Registry,f,f,t,Serbian National Bank,http://www.nbs.rs/internet/english/index.html,Available: a list of all authorised financial institutions and companies,
Serbia,Business Registry,f,f,t,Securities Commission,http://www.sec.gov.rs/index.php?option=com_content&task=category&sectionid=7&id=17&Itemid=56,"Available: Broker-Dealer Companies, Authorised Banks, Custody Banks, Investment Fund Management Companies, Investment Funds",
Serbia,Business Registry,f,f,t,Central Securities Depository and Clearing House,http://www.crhov.rs/index.cfm?Opcija=1&jezik=en,Available: lists of issuers and company reports,
Slovakia,Commercial Registry,f,f,f,Project foaf.sk,http://foaf.sk/,"It gives data from the present, past, visualizes the network and shows you a timeline of all the relationships. It aggregates data from from the Commercial Register of the Slovak Republic, the Slovak tax authorities, general health insurance, Journal procurement and other databases.",
Slovakia,Intellectual Property,f,f,t,Industrial Property Office of the Slovak Republic,http://www.upv.sk/,,
Slovakia,Court Registry,f,f,f,Open Courts,http://otvorenesudy.sk/,"It provides scraped and re-indexed data from the Ministry of Justice on court decisions, hearings, profiles of judges and other useful judicial information.",
Slovakia,Court Registry,f,f,t,Ministry of Justice - Court Records,http://www.justice.gov.sk/,Provides access to court judgements and decisions,
Slovakia,Business Registry,f,f,t,Visual Business Register,http://vorsr.sk/en/,Available: inphographic like registry of Slovak and Czech Republics,
Slovakia,Commercial Registry,f,f,f,Datanest,http://datanest.fair-play.sk/en/pages/index,"database with diverse information about the functioning of Slovakia: the governments, bureaus, political parties, economy, but also the relations between the various subjects operating in the country",
Slovakia,Business Registry,f,f,t,Ministry of Justice - Business Register,http://www.orsr.sk/default.asp?lan=en,"Available: search by company name, registration number, name of a person, with basic company information",
Slovakia,Business Registry,f,f,t,Bratislava Stock Exchange,http://www.bsse.sk/bcpben/MainPage/tabid/104/language/en-US/Default.aspx,"Available: a list of issuers, basic company information and financial reprots for some",
Slovenia,Regulatory Agency,f,f,t,Anti Corruption Commission,http://supervizor.kpk-rs.si/,Database of businesses between the private and public sector.,
Slovenia,Land Registry,f,t,t,Supreme Court Republic of Slovenia,https://evlozisce.sodisce.si/esodstvo/index.html,Land registry searchable by a particle number.,
Slovenia,Land Registry,f,f,t,Cadastre Office,http://prostor3.gov.si/javni/login.jsp?jezik=sl,Useful when you have an address but not the cadastral number. Use this site to identify the particle number so that more detailed data can be obtained from the Land Register,
