imo,Title,Type,Country,State,Paid,Registration required,Governmental,Website,Description
669,Dubai Airport Freezone,business,AE,,FALSE,FALSE,TRUE,https://www.dafz.ae/en/client-lounge#daf_tenenats,A listed directory of companies registered with the DAFZ with no additional information.
676,Abu Dhabi Chamber of Commerce and Industry: Commercial Directory,business,AE,,FALSE,FALSE,TRUE,https://www.abudhabichamber.ae/en/Pages/CD/Activities.aspx,"Search by name, phone number, email address and more (advanced searches available) to find basic information such as address, phone number, and company business activities."
686,Dubai Department of Economic Development,business,AE,,FALSE,TRUE,TRUE,http://www.dubaided.ae/English/pages/default.aspx,"Registry can be searched by business activity, trade name, license information and transaction status in English and Arabic."
700,Dubai Jebel Ali Freezone,business,AE,,FALSE,FALSE,TRUE,http://eservices.dubaitrade.ae/clientdirectory/clientsSearch.do,"Directory of clients that is searchable by name and will return contact information, website and business activity."
713,Dubai International Financial Centre,business,AE,,FALSE,FALSE,TRUE,http://www.difc.ae/browse-directory,"The directory is searchable by name and will return director, shareholder, secretary, shares information, and address."
716,Fujairah Ali Freezone,business,AE,,FALSE,FALSE,TRUE,http://www.fujairahfreetradezone.com/appdir/company-listing.php,Phone and fax number directory for companies registered with the Fujairah Ali Free zone.
,Sharajah Economic Development Department - License Search,business,AE,,FALSE,FALSE,TRUE,https://sedd.ae/web/sedd/home,"Search for companies registered with the Sharjah Economic Development to retrieve trade name in English or Arabic, company status, registration number and associated contact details."
,Dubai Multi Commodities Center,business,AE,,FALSE,TRUE,TRUE,https://www.dmcc.ae/business-search,Directory of companies registered with the Dubai Multi Commodities Center (DMCC) with address and occasionally contact information and business hours.
823,Hamriyah Freezone Authority,business,AE,,FALSE,FALSE,TRUE,http://www.hfza.ae/en-us/Investors-Zone/HFZA-Investors,Directory of companies registered with the Hamriyah Free zone Authority.
136,Afghanistan Central Business Registry and Intellectual Property  Ministry of Commerce and Industry,ip,AF,,FALSE,FALSE,TRUE,http://acbr.gov.af/,"Website of the Afghan Business Registry where you can download the forms to register a company name and apply for trademarks. You can search the business registry in the Online Verification section and get print-outs of a company name, number, sector and location."
,Supreme Court of Afghanistan,court,AF,,FALSE,FALSE,TRUE,https://supremecourt.gov.af/en/mezan-gazette,Limited information on court verdicts and meetings from 2007-2010 are published in the Mezan Gazette on the official website of the Supreme Court of Afghanistan.
,Afghanistan Chamber of Commerce and Industry,business,AF,,FALSE,FALSE,FALSE,http://www.acci.org.af/,"Website with an overview of tenders, surveys, studies, laws, and import and export regulations."
124,Antigua and Barbuda Intellectual Property & Commerce Office (ABIPCO) Ministry of Legal Affairs,ip,AG,,FALSE,FALSE,TRUE,https://abipco.gov.ag/,"In this online register, you can search for companies by name, number, and some address information. It will tell the status, registration date, type and address of the company that registered for intellectual property."
209,Antigua and Barbuda Supreme Court,court,AG,,FALSE,FALSE,TRUE,https://www.eccourts.org/category/antigua-barbuda/,This courts website lists most recent court cases and also has a search bar. The verdicts are available in PDF and text. They can be searched by any keyword.
137,"General Directorate of Patents and Trademarks  Ministry of Economic Development, Trade and Industry",ip,AL,,FALSE,FALSE,TRUE,http://www.alpto.gov.al/,"This website includes a search engine for patents, trademarks, industrial designs, which you can search for by owner name."
201,Albania Supreme Court,court,AL,,FALSE,FALSE,TRUE,http://www.gjykataelarte.gov.al/web/The_High_Court_1_2.php,This search engine for court decisions allows for searching by party names as well as case number. It also has a list of which cases and trials are upcoming.
699,Albanian Financial Supervisory Authority,regulatory,AL,,FALSE,FALSE,TRUE,https://amf.gov.al/?lng=1,"The website lists registers of Insurance Market, Securities Market, Investments Market and Pension Fund Market actors."
766,National Business Center,business,AL,,FALSE,FALSE,TRUE,http://qkr.gov.al/search/search-in-trade-register/search-for-subject/,"This database includes historic company extracts, current company extracts, and some original documents. They are available in English and searchable by name, address, shareholder and identification number."
141,Intellectual Property Agency of the Republic of Armenia  Ministry of Economy of the Republic of Armenia,ip,AM,,FALSE,FALSE,TRUE,http://www.aipa.am/hy/,Armenia's IP Agency has available online published bulletins of industrial property and trademark applications going back to 1995.
540,Armenia Securities Exchange,business,AM,,FALSE,FALSE,FALSE,https://amx.am/,"The Armenian Securities Exchange website includes reports of traded companies including Material Facts, Annual Reports, Applications and Prospects. The files themselves are in Armenian but readable by text editors and translatable."
690,Central Bank of the Republic of Armenia,business,AM,,FALSE,FALSE,TRUE,https://www.cba.am/am/SitePages/Default.aspx,Financial reports of traded companies are available under the Financial System and Control menu by clicking on Financial Organizations. The reports on these companies are only available in Armenian. The website also includes lists and publications on money laundering.
,E Register of Armenia,business,AM,,TRUE,TRUE,FALSE,https://www.e-register.am/am/search ,"This is an electronic register that can be searched by company name as well as person. It also allows for searches in English but then it is limited to exact matches. It is possible to make an account for free but then you can only get limited information such as founders of the company. To see the current participants in the company, you need to pay a fee."
,data.hetq.am,PEP,AM,,FALSE,FALSE,FALSE,https://data.hetq.am/,"A public database of Armenian PEPs created by Armenian Investigative Journalism platform Hetq. Profiles on politicians include a biography, asset declarations, a map of affiliated people and a chart of money flows."
64,Supreme Tribunal of Angola,court,AO,,FALSE,FALSE,TRUE,http://www.tribunalsupremo.ao/,"The Supreme Court website lists decisions, resolutions, legislation and other documents from various courts. All documents are in Portuguese. The files can be downloaded as PDF and are redacted."
817,Government of Angola,business,AO,,FALSE,FALSE,TRUE,http://www.governo.gov.ao/,"This overview website of the Angolan government includes a list of government agencies, press releases, ministries, and legislation."
140,National Institute of Industrial Property (INPI),ip,AR,,FALSE,FALSE,TRUE,http://www.inpi.gov.ar/,"Argentina's Industrial Property Institute has an online library of articles, research, and patent law. It is possible to look by brand name or company name. For certain kinds of searches, you need to send a form by mail."
214,Argentina Supreme Court,court,AR,,FALSE,FALSE,TRUE,http://www.csjn.gov.ar/,"The Supreme Court has available online judgements, agreements and resolutions. The website also includes search engines to look for verdicts by Argentina's other courts. You can look at the most recent verdicts or search them by keyword. The court verdicts are not redacted."
340,Afip- Administración Federal de Ingresos Públicos,regulatory,AR,,FALSE,TRUE,TRUE,http://www.afip.gob.ar/home/index.html,"A website for the Taxes, Customs and Social Security Agencies of Argentina. In order to search for filed records, you need a national tax number or CUIT."
382,"Registro Único de Audiencias
de Gestión de Intereses",regulatory,AR,,FALSE,FALSE,TRUE,https://audiencias.mininterior.gob.ar/,"An online registry of Public Hearings by the Interior Ministry, which you can search by keywords and parties. It has short descriptions of the hearings, location and date of when it took place and ID numbers of the parties involved."
388,Boletín Oficial de la República Argentina,gazette,AR,,FALSE,FALSE,TRUE,https://www.boletinoficial.gob.ar/,"A website with the official national gazettes of Argentina with notices by the Justice, Transport and Health ministries, among others. In the Societies and Legal Notices, you can find company notices of Anonymous Societies (SA) with director and founder information."
,Red de Boletines Oficiales de la República Argentina,gazette,AR,,FALSE,FALSE,TRUE,http://www.reddeboletines.gob.ar/,"A directory with all the gazettes of Argentina's many provinces. Each province works differently but, in most cases, you can download the gazettes by publication date and also search them for keywords such as company names."
421,La Nacion's database of Sworn Statements,regulatory,AR,,FALSE,FALSE,FALSE,http://interactivos.lanacion.com.ar/declaraciones-juradas/#pd=0,"Argentinian newspaper La Nacion has collected sworn statements and affidavits of Argentinian authorities including elected officials, ministers and judges. These can be searched by name using a search bar or drop-down menus."
422,Oficina Nacional de Contrataciones,business,AR,,FALSE,FALSE,TRUE,https://comprar.gob.ar/,"A database of government contracts, tenders and projects. You can look up suppliers by national tax number (CUIT, CUIL or NIT), social number or name."
438,Court Registry,land,AR,,FALSE,FALSE,TRUE,http://www.cij.gov.ar/sentencias.html,"You can search for court cases and download some original documents. The search engine works by date, case number and key word."
666,Ministry of Justice and Human Rigths Business Name Search,business,AR,,FALSE,FALSE,TRUE,https://www2.jus.gov.ar/igj-homonimia/Principal.aspx,A business name search to check if a name has already been chosen. A resource for verifying if a company or other kind of legal association has been registered in Argentina.
804,Buenos Aires Stock Exchange,business,AR,,FALSE,FALSE,TRUE,http://www.bolsar.com/VistasDL/PaginaPrincipal.aspx,"Offers information for publicly shared companies and an overview of the stock exchange. Company data can be accessed under ""societies,"" where the companies list can be searched by name and ""symbol;"" the alphabetic code used on the stock exchange. Company information includes shares, address and directors."
840,Nosis,business,AR,,TRUE,TRUE,FALSE,http://www.nosis.com/es,A commercial third-party database with company information. You can buy a subscription or buy company profiles. Advanced company tracking and managing subscriptions are available as well. Focused on import-export businesses.
841,Informe Multiburo,business,AR,,TRUE,TRUE,FALSE,https://www.informemultiburo.com/busquedaonline,A people's search for the commercial database. It can be used to find the CUIT or DNI of a person or the name associated with a CUIT or DNI. You can buy reports for individuals but need a subscription and account.
404,National Government Data,ip,AR,,FALSE,FALSE,TRUE,https://datos.gob.ar/,"This website is a catalogue of public data sets generated, saved and published by various government agencies of Argentina."
119,"The Austrian Patent Office  Federal Ministry for Transport, Innovation and Technology",ip,AT,,FALSE,FALSE,TRUE,http://www.patentamt.at/,"The Austrian patent office has an online register that can be searched by title, number and name of applicant. You can search trademarks, designs, national patents, European patents, and protection certificates."
217,Austria Supreme Court,court,AT,,FALSE,FALSE,TRUE,http://www.ris.bka.gv.at/,"This Austrian database includes legislation, law gazettes and case law on both the federal and state levels."
462,Jusline,business,AT,,TRUE,FALSE,TRUE,http://www.jusline.at/,"This commercial service offers business registry, land registry and legal resources, among others, for purchase."
603,Firmen ABC,business,AT,,TRUE,TRUE,FALSE,http://www.firmenabc.at/,"A commercial company database that will tell you the company registration number, UID number, names of representatives, date of incorporation, sales and number of employees for free."
790,Vienna Stock Exchange,business,AT,,FALSE,FALSE,TRUE,http://en.wienerborse.at/investors/listedcompanies/,"Under ""Issuers,"" you can find the list of companies active in the stock exchange and find registration number, UID number, management board, date of incorporation, sales, financial reports and share voting right changes, which includes shareholders names."
,Firmen Buch,business,AT,,TRUE,FALSE,TRUE,https://firmenbuch.at/,The Austrian commercial register can be searched by register number or company name. You can order extracts form the company register and yearly accounts.
,Wiener Zietung,gazette,AT,,FALSE,FALSE,TRUE, https://www.wienerzeitung.at/,"This business gazette includes financial statements for certain companies, including those listed on the stock exchange, banks and insurance companies."
,European Commision E-Justice,business,AT,,FALSE,FALSE,TRUE,https://beta.e-justice.europa.eu/106/EN/business_registers_in_eu_countries?AUSTRIA&member=1,"The European Commission overview of the Austrian business registry, including links to the registry, description of how to search and what can be found as well as legislation behind it."
142,IP Australia  Department of Industry,ip,AU,,FALSE,FALSE,TRUE,https://services.ipaustralia.gov.au/ssoda/UI/Login?realm=/IPA_EXTERNAL&goto=https%3A%2F%2Fservices.ipaustralia.gov.au%3A443%2FICMWebUI%2F,"The Australian Government's eServices page for Industrial Property Australia is a secure, reliable and convenient registry which gives access a range of IP Australia's transactions and services."
215,Australia  Federal Court,court,AU,,FALSE,FALSE,FALSE,http://www.austlii.edu.au/au/cases/cth/FCAFC/#nt,"This database contains full text decisions of the Federal Court of Australia from 2002 till 2019. AustLII publishes public legal information, including primary legal materials (legislation, treaties and decisions of courts and tribunals) and secondary legal materials created by public bodies for purposes of public access and a substantial collection of law journals."
460,Australian Business Register,business,AU,,FALSE,FALSE,TRUE,http://www.abr.business.gov.au/Index.aspx,"ABN Lookup is the public view of the Australian Business Register (ABR). It provides access to publicly available information supplied by businesses when they register for an Australian Business Number (ABN). You can search by ABN, ACN or a name of the company."
527,Australian Securities and Investments Commission,regulatory,AU,,FALSE,TRUE,TRUE,https://asicconnect.asic.gov.au/public/faces/landingPage?_afrLoop=2898181417933000&_afrWindowMode=0&_adf.ctrl-state=ehlqp78e9_4,"The Australian government's business registry. Within the ASIC register, you can look for documents, organization and business names, banned and disqualified searches, business name index, fees. You can search using company names or document numbers."
,New South Wales Land Registry Services,land,AU,,TRUE,TRUE,TRUE,https://online.nswlrs.com.au/wps/portal/six/find-records/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziLQMMLQydLIy8DAwtLAwcvQOdTIKM3AwNLMz0w8EKnN0dPUzMfQwMDEwsjAw8XZw8XMwtfQ0MPM30o4jRj0cBSL8BDuBoANQfBVaCzwWEzCjIDY0wyHRUBAAB9Ddm/dz/d5/L2dBISEvZ0FBIS9nQSEh/,"NSW Land Registry Services (NSW LRS) is the business name of Australian Registry Investments (ARI), the operator of land titling and registry services in the Australian state of New South Wales. It is responsible for the state's land titles and property information and operates the registry under a 35-year concession with the Government of New South Wales, which started on 1 July 2017."
,Jade,legal documents,AU,,FALSE,FALSE,FALSE,https://jade.io/,The Judgment and Decisions Enhanced ('JADE') website is a free current awareness service and professional legal research platform designed by the legal profession for the legal profession. It includes decisions of Australian and International Courts and Tribunals and Australian legislation
612,Aruba Chamber of Commerce,business,AW,,TRUE,FALSE,TRUE,https://my.arubachamber.com/register/zoeken,"The Chamber provides you with an extract of the registration of a business or a foundation. An extract is a document issued by either the Commercial or Foundations Register containing the most important and essential data of a registered enterprise or foundation. While the Aruba Chamber of Commerce offers a free of charge search for companies, documents are for purchase. There is no need to log in on to the website"
125,"Azerbaijan Standardization İnstitute
",regulatory,AZ,,FALSE,FALSE,TRUE,http://www.azstand.gov.az/,"The State Committee on Standardization, Metrology and Patents of Azerbaijan Republic is a governmental agency responsible for the country's technical regulations, metrology, valuation of technical compliance, accreditation and quality standards. The website includes the country's laws, decrees and regulations."
396,Ministry of Taxes of Azerbaijan,business,AZ,,FALSE,TRUE,TRUE,https://www.e-taxes.gov.az/ebyn/commersialChecker.jsp,"The Ministry of Taxes of Azerbaijan Republic online database, which you can search for companies. The search has to be done by a company number and company name (in capital letters)."
453,National Depository System,regulatory,AZ,,FALSE,FALSE,TRUE,http://mdm.az/index.php?r=1&lang=en,"The National Depository Center (NDC) is the organization and coordination of the depository system that engages in safekeeping of securities, keeping records of ownership rights and other ones, as well as registering securities transactions."
152,Institute for Intellectual Property of Bosnia and Herzegovina,ip,BA,,FALSE,FALSE,TRUE,http://www.ipr.gov.ba/en/stranica/database-search,"The Institute for Intellectual Property database gives links for access to national and international databases of intellectual property, where you can get information relevant to your business or research, or for drafting scientific papers. The data available on this site are for informational purposes and is regularly updated/ changed, wherefore search results should be treated with caution."
480,Registers of Business Entities,business,BA,,FALSE,FALSE,TRUE,"http://bizreg.pravosudje.ba/pls/apex/f?p=186:20:3456335640372414::NO::P20_SEKCIJA_TIP,P20_POMOC:PRETRAGA,FALSE","The official registry of companies of the Federation of Bosnia and Herzegovina, Republic of Srpska and Brcko District. You can find director and shareholder information, addresses, capital and some changes information."
,Financial Information Agency,business,BA,,FALSE,FALSE,TRUE,https://fia.ba/Index/Index,"The FIA website allows you to look for corporate and non-profit entities, see what they own, and how much they are worth."
489,Sarajevo Stock Exchange,business,BA,,FALSE,FALSE,TRUE,http://www.sase.ba/v1/en-us/,"An official website of the Sarajevo (Federation of Bosnia and Herzegovina) Stock Exchange where you can download financial reports of issuers with the daily overview of market, public offerings, price lists and issuer profiles."
502,Registry of Securities of the Federation BiH,business,BA,,FALSE,FALSE,TRUE,http://www.rvp.ba/english/Dokumenti_,"The Official Registry of Securities of Federation Bosnia and Herzegovina provides an online dataset on securities and securities holders that is submitted by the company's management to the Registry. All data contained in the account of the securities holder are considered as confidential information, and only the account holder, investors or competent authorities have the right to inspect the account, according to the mandate proscribed by the Law and the Registry's authorized employees."
638,Securities Commission of Republika Srpska,business,BA,,FALSE,FALSE,TRUE,https://www.crhovrs.org/index.php/en/,"The Official Registry of Securities JSC Banja Luka includes data on securities and their holders, and on all transactions related to transfer of ownership or changes of the securities status. These documents contain information about ownership and other rights contained in securities, as well as registration and deletion of ban of disposal right based on contracts, court decisions and other decisions issued by relevant bodies."
789,Banja Luka Stock Exchange,business,BA,,FALSE,FALSE,TRUE,http://www.blberza.com/Pages/Default.aspx,"The Stock Exchange of Banja Luka (The Serb Republic of BiH) has financial reports of issuers. You can also search for annual reports, historic overview, international collaboration and stock exchange strategies."
147,Corporate Affairs and Intellectual Property Office (CAIPO)  Ministry of International Business and International Transport,ip,BB,,FALSE,FALSE,TRUE,https://caipo.gov.bb/home/index.php/search/search-our-database,The Corporate Affairs and Intellectual Property Office maintains a reliable system of public records and an efficient registry service which supports the commercial activities of the public and private sectors as well as the development of Barbados' domestic and international trade and business.
189,Supreme Court of Barbados,court,BB,,FALSE,FALSE,TRUE,https://www.barbadoslawcourts.gov.bb/,"The Barbados Judicial System website includes court records, which are filed and processed in the court registries of the Court of Appeal and the High Court, respectively."
146,"Department of Patents, Designs and Trademarks (DPDT)  Ministry of Industries",ip,BD,,FALSE,FALSE,TRUE,http://www.dpdt.gov.bd/,"This website is useful in order to get information related to Intellectual Property (IP). This includes tendering documents, reports, office orders and gazette trademark journals."
205,Supreme Court of Bangladesh,court,BD,,FALSE,FALSE,TRUE,http://www.minlaw.gov.bd/,"On the official website of the Supreme Court of Bangladesh, you can download court cases from the Law and Justice Division and the Legislative and Parliamentary Division."
454,Office of the Registrar,business,BD,,FALSE,FALSE,TRUE,http://app.roc.gov.bd:7781/,"The official website of the Office of the Registrar of Joint Stock Companies of Bangladesh contains information about companies including ownership. RJSC deals with private, public and foreign companies as well as trade organizations, societies and partnership firms. The data that is available for download contains basic information on joint stock and limited companies."
,European Commision E-Justice,business,BE,,FALSE,FALSE,TRUE,https://beta.e-justice.europa.eu/106/EN/business_registers_in_eu_countries?BELGIUM&member=1,"The European Commission overview of the Belgian business registry; including links to the registry, descriptions of how to search it and what can be found, and a description of the legislation behind it."
149,Federal Publis Service Ecomomy (FPS Economy),ip,BE,,FALSE,FALSE,TRUE,https://economie.fgov.be/en/themes/intellectual-property,"Belgium's Governmental web directory for intellectual property websites. Includes links to databases per category, such as patents, trademarks and trade names."
219,Belgian Courts and Chambers,court,BE,,FALSE,FALSE,TRUE,https://www.tribunaux-rechtbanken.be/nl,"An overview of all the courts and their chambers of Belgium's judicial system, with links to each entity's website."
722,Financial Services and Markets Authority,regulatory,BE,,FALSE,FALSE,TRUE,http://stori.fsma.be/Pages/Search.aspx?PageID=d393a9bc-82b0-40ad-b8d2-6a89f70e46fe,"A database of financial documents for companies that are publicly traded by the Financial Services and Markets Authority. This includes announcements such as shareholder changes, quarterly reports and board meetings."
733,Crossroads Bank for Enterprises,business,BE,,FALSE,FALSE,TRUE,https://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?lang=en,"The official business registry. You can search it by registry number, name, commercial activity or address. The company overview pages include directorship information and at the very bottom, you will find links to the company's annual accounts and gazette publications."
734,Trends Business Information,commercial,BE,,TRUE,TRUE,FALSE,https://shop.trends-business-information.be/webshop/?lng=en#/,"A third-party database by Belgium's main business outlet that includes legal files, credit reports and annual accounts."
758,Service Public Fédéral Justice,business,BE,,FALSE,FALSE,TRUE,http://www.ejustice.just.fgov.be/tsv/tsvf.htm,"The Justice Ministry's database for company-related documents. For some companies there are images of documents available. You can find, for example, official announcements of changes in the structure of the company, address changes, and key personnel changes."
,Scheepvaart West,ships,BE,,FALSE,FALSE,FALSE,http://www.scheepvaartwest.be/CMS/,A resource for pictures of ships taken at Belgian and Dutch harbors
220,Supreme Court of Burkina Faso,court,BF,,FALSE,FALSE,TRUE,http://www.cour-cassation.gov.bf/,"The Official website of Burkina Faso's Court of Cassation. The website offers a range of resources such as basic texts, archives and photo library. The website is in French."
550,La Maison De L'Enterprise,business,BF,,FALSE,FALSE,TRUE,http://www.me.bf/templates/fichiers/page-recherche-fr.php,The Maison de l'Entreprise du Burkina Faso (MEBF) provides a range of company and association documents which are free to download and do not require any registration or payment.
592,Chamber of Commerce and Industry of Burkina Faso,business,BF,,FALSE,FALSE,TRUE,http://www.cci.bf/?q=en/entreprise,"The CCI-BF is a constituted body that is empowered to represent before the public authorities, the general interests of commerce, industry and services. The website offers only basic company information. You can search by business name and will get location, phone number, registration number and business address."
,European Commision E-Justice,business,BG,,FALSE,FALSE,TRUE,https://beta.e-justice.europa.eu/106/EN/business_registers_in_eu_countries?BULGARIA&member=1,"The European Commission's overview of Bulgarian commercial public data, including links to the registry, a description of how to search and what can be found as well as the legislation behind it."
,Bulgarian Business Register,business,BG,,TRUE,FALSE,TRUE,http://www.brra.bg/Default.ra,"In Bulgaria's company registry, you can look by name or company number and buy certificates and documents such as current status, incorporation and name certificate."
155,Patent Office of the Republic of Bulgaria (BPO),ip,BG,,FALSE,FALSE,TRUE,http://www.bpo.bg/,"The Patent Office is the National State Authority for the legal protection of the industrial property rights. The official website offers up-to-date information regarding intellectual property. There are three sets of sources for the data: the European Patent Office (EPO), the World Intellectual Property Organization (WIPO), and the World Intellectual Property Organization (WIPO)."
223,Supreme Court of Bulgaria,court,BG,,FALSE,FALSE,TRUE,http://www.vks.bg/,"The official website of Bulgaria's Supreme Court has a searchable database where you can find various records such as case files and court records. You can search by country, lower case data, HCVC entry number, or departmental case number."
559,Bulgarian Stock Exchange,business,BG,,FALSE,FALSE,TRUE,http://www.bse-sofia.bg/?page=FinancialReportsOfIssuers,"The Bulgarian Stock Exchange made financial reports of issuers available online. On the ""Members List"" page, you can find contact information and brokers of traded companies."
588,Daksi,commercial,BG,,TRUE,TRUE,FALSE,http://www.daxy.com/cgi-bin/page.py?ind=news,"The United Commercial Register, the Bulstat Register and the State Gazette give you full access to public data on: legal entities with Bulgarian and/ or foreign participation; ministries, agencies, non-governmental organizations; individuals - lawyers, notaries, doctors, etc. This information is available only in Bulgarian."
779,Ciela Norma,commercial,BG,,TRUE,TRUE,FALSE,http://www.ciela.net/products.aspx?lang=en&prodID=22,"The Ciela Norma - Law and Reference Software will give you information about current and archival documents from Bulgarian legislation, administrative procedures, European legislation, translations of the legislative framework in English and Russian, as well as products specializing in different areas such as accountancy, taxes, insurance, construction, customs, currency regulations, energy sector, education, etc. The state gazette includes records from 1885 until 2019."
,Trade Register and Register of NGOs,business,BG,,FALSE,FALSE,TRUE,https://public.brra.bg/CheckUps/Verifications/VerificationPersonOrg.ra,"In the Bulgarian Commercial Registry, you can search by individual or legal entity name in Cyrillic or by identification number. The results will include general company information, the company's current status, as well as any files the company filed with the registry. You must have Java installed to view any corresponding documents."
,Bulgarian Chamber of Commerce,business,BG,,FALSE,FALSE,TRUE,https://newregister.bcci.bg/edipub/,"The Bulgarian Chamber of Commerce has a database where you can search by company name to retrieve registration number, company status and Bulstat or PIN. The chamber advises researchers to file an application form and pay for official checks on companies, as it does not guarantee the accuracy of the information provided online."
470,Ministry of Industry and Commerce,business,BH,,FALSE,FALSE,TRUE,http://www.moic.gov.bh/ar/Pages/default.aspx,"The official website of the Ministry of Industry and Commerce is helpful if you need information about company registration, competition law and consumer protection. Next to company registration information, you have access to commercial and industry news, a bulletin of recent commercial registrations (with registration number, date and name) and reports on commercial law. Company searches are possible only with the registration number."
495,Central Bank of Bahrain,regulatory,BH,,FALSE,FALSE,TRUE,https://www.cbb.gov.bh/,The Central Bank of Bahrain (CBB) is responsible for maintaining monetary and financial stability in the Kingdom of Bahrain. This website gives you a list of licensed financial institutions (and companies) in Bahrain. The website is available both in Arabic and English
798,Bahrain Stock Exchange,business,BH,,FALSE,FALSE,TRUE,http://www.bahrainbourse.net/bhb/default.asp?language=en,"The Bahrain Stock Exchange website allows you to search for financial reports of listed companies. This stock exchange aims to offer a comprehensive suite of exchange-related facilities including listing, trading, settlement, and depositary services for various financial instruments."
79,Government Gazette,gazette,BI,,FALSE,FALSE,FALSE,https://repositories.lib.utexas.edu/handle/2152/4116,"The government of Burundi does not maintain an online repository for its business gazette, but publications from select years (2002-2003) are available through the University of Texas Library. Click on the provided link and type ""Bulletin officiel du Burundi"" in the search bar."
82,Supreme Court of Burundi,court,BI,,FALSE,FALSE,FALSE,http://www.juricaf.org/recherche/+/facet_pays%3ABurundi,"You can search documents from Burundi's Supreme court starting from 1977. There are advance search options to get more accurate results. Juricaf is intended primarily for the French-speaking world, but is also open to nationals of common law countries so that they can have access to the case law rendered in French."
557,Chamber of Commerce and Industry,business,BI,,FALSE,FALSE,TRUE,http://cfcib.bi/,The Federal Chamber of Commerce and Industry of Burundi (CFCIB) has an online library but most of the files seem to be missing as of January 2020. It also lists a guide for online resources but the guide is not available.
65,Constitutional Court of Benin,court,BJ,,FALSE,FALSE,TRUE,http://cour-constitutionnelle-benin.org/ccons2018/recherches-de-decisions/,The Official website of Supreme Court of Benin has an online database of court decisions regarding the rights and liabilities of parties in a legal action or proceeding. Archives are from the period of November 2013 until March 2017.
684,Benin Chamber of Commerce,business,BJ,,FALSE,FALSE,TRUE,http://www.ccibenin.org/index.php?option=com_docman&task=search_form&Itemid=138,"The Chamber of Commerce and Industry of Benin (CCIB) is supervised by the Ministry of Trade. The site provides information about CCIB and its services, CCIB partners, news reports, investing, events, and general tourist information on the country. It is only available in French. Business regulation and some company information are available upon request."
,Guichet Unique de Formalisation des Entreprises (GUFE),business,BJ,,FALSE,FALSE,TRUE,http://www.gufebenin.org/index.php/entreprises,"The Guichet Unique de Formalisation des Entreprises (GUFE) is a public agency in charge of registering businesses in Benin, and thus acts as the country's company registry. The website allows a search by company name for very basic information, such as director, company type and address. It also publishes the company gazette, which contains additional information on companies, but the entries organized by date of publication and cannot be searched by company name."
